ply2cardsum,sumofdeal,blkjck,winloss
17,18,0,0
19,18,0,1
17,18,0,0
12,18,0,0
12,18,0,0
7,18,0,0
14,23,0,1
13,23,0,1
12,23,0,1
15,23,0,1
14,23,0,1
8,23,0,1
12,26,0,1
19,26,0,1
6,26,0,1
20,26,0,1
11,26,0,1
14,26,0,1
14,18,0,1
12,18,0,0
13,18,0,0
20,18,0,1
20,18,0,1
12,18,0,0
13,19,0,0
17,19,0,0
20,19,0,1
11,19,0,2
16,19,0,0
12,19,0,0
12,15,0,1
16,15,0,1
18,15,0,1
8,15,0,1
13,15,0,1
8,15,0,1
14,23,0,1
20,23,0,1
16,23,0,1
10,23,0,1
8,23,0,1
17,23,0,1
13,17,0,0
12,17,0,0
20,17,0,1
16,17,0,0
13,17,0,1
8,17,0,1
11,20,0,0
5,20,0,2
19,20,0,0
14,20,0,2
11,20,0,1
6,20,0,0
21,23,1,1
15,23,0,0
5,23,0,0
12,23,0,0
21,23,1,1
9,23,0,1
14,19,0,0
12,19,0,1
16,19,0,0
12,19,0,0
12,19,0,0
11,19,0,2
19,21,0,0
18,21,0,0
14,21,0,0
19,21,0,0
21,21,1,2
14,21,0,2
11,19,0,0
4,19,0,1
16,19,0,0
6,19,0,0
4,19,0,0
9,19,0,0
16,17,0,0
9,17,0,1
12,17,0,1
13,17,0,1
20,17,0,1
4,17,0,0
13,18,0,0
12,18,0,1
20,18,0,1
6,18,0,0
12,18,0,0
14,18,0,0
20,20,0,2
14,20,0,0
21,20,1,1
11,20,0,0
13,20,0,0
8,20,0,1
11,20,0,1
20,20,0,2
10,20,0,0
15,20,0,0
17,20,0,0
12,20,0,0
15,17,0,0
20,17,0,1
20,17,0,1
13,17,0,1
6,17,0,0
19,17,0,1
14,20,0,0
20,20,0,2
15,20,0,2
20,20,0,2
18,20,0,0
13,20,0,0
17,20,0,0
8,20,0,0
7,20,0,0
11,20,0,1
15,20,0,0
11,20,0,0
20,19,0,1
4,19,0,0
19,19,0,2
18,19,0,0
14,19,0,0
13,19,0,0
21,20,1,1
13,20,0,0
7,20,0,0
21,20,1,1
18,20,0,0
19,20,0,0
10,24,0,1
10,24,0,1
19,24,0,1
17,24,0,1
19,24,0,1
12,24,0,1
17,19,0,0
15,19,0,0
12,19,0,2
15,19,0,0
21,19,1,1
17,19,0,0
16,25,0,0
14,25,0,0
